quarter,strategy,tickers,return
2017-Q2,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.08118077482482407
2017-Q2,COMP,"['8306.T', '3407.T', '4063.T', '6702.T', '8316.T', '6954.T', '8035.T', '6503.T', '6098.T', '6758.T']",0.08935992273546267
2017-Q3,MOM,"['8035.T', '6702.T', '4063.T', '6098.T', '3407.T', '7741.T', '6861.T', '9984.T', '6501.T', '6594.T']",0.12153522915978124
2017-Q3,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.09913936530920783
2017-Q3,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.07346658189974438
2017-Q3,COMP,"['8035.T', '6702.T', '4063.T', '8306.T', '3407.T', '6954.T', '6098.T', '8316.T', '9984.T', '5108.T']",0.06825269243179818
2017-Q4,MOM,"['4911.T', '8035.T', '6098.T', '6861.T', '6501.T', '6702.T', '7741.T', '3407.T', '8001.T', '4519.T']",0.10069209763854343
2017-Q4,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.06275033585709358
2017-Q4,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.10800496841665133
2017-Q4,COMP,"['4911.T', '6702.T', '8035.T', '3407.T', '6098.T', '6501.T', '6861.T', '6971.T', '8306.T', '8001.T']",0.10398041006105593
2018-Q1,MOM,"['8035.T', '4911.T', '4519.T', '6098.T', '6861.T', '6758.T', '4661.T', '6954.T', '6971.T', '6594.T']",0.01225782932899283
2018-Q1,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.07837098233168105
2018-Q1,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",-0.06586487859664773
2018-Q1,COMP,"['8035.T', '4519.T', '4911.T', '6954.T', '6098.T', '6758.T', '6971.T', '3407.T', '6861.T', '4063.T']",-0.0033225804219366275
2018-Q2,MOM,"['4911.T', '8035.T', '4661.T', '6594.T', '6758.T', '4519.T', '4568.T', '6861.T', '4543.T', '6098.T']",0.09751049877363734
2018-Q2,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.00681700203247021
2018-Q2,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",-0.008552120659541673
2018-Q2,COMP,"['4911.T', '8035.T', '6594.T', '6758.T', '4661.T', '4519.T', '4568.T', '6954.T', '4543.T', '8316.T']",0.06599583652307756
2018-Q3,MOM,"['4911.T', '6098.T', '6594.T', '4568.T', '4661.T', '8058.T', '4543.T', '3407.T', '4519.T', '4523.T']",0.19239240649556344
2018-Q3,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.12282793538132797
2018-Q3,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.11636469117671881
2018-Q3,COMP,"['4911.T', '6594.T', '4568.T', '3407.T', '8316.T', '6098.T', '4523.T', '4519.T', '4543.T', '4661.T']",0.1849298175859943
2018-Q4,MOM,"['4523.T', '4568.T', '4911.T', '9983.T', '6098.T', '8267.T', '4519.T', '6758.T', '4661.T', '4543.T']",-0.17792028870252494
2018-Q4,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.16810357371499562
2018-Q4,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",-0.18842383778866245
2018-Q4,COMP,"['4523.T', '4568.T', '4911.T', '6758.T', '4519.T', '6098.T', '4543.T', '8316.T', '9983.T', '3407.T']",-0.20757191735964442
2019-Q1,MOM,"['4523.T', '4568.T', '8267.T', '9983.T', '4519.T', '4911.T', '7741.T', '4543.T', '6098.T', '6758.T']",0.13483573021613435
2019-Q1,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.10585878912097497
2019-Q1,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.2161996777487758
2019-Q1,COMP,"['4523.T', '4568.T', '4519.T', '4911.T', '4543.T', '8267.T', '8316.T', '6758.T', '9022.T', '9983.T']",0.11194384408351829
2019-Q2,MOM,"['4523.T', '4519.T', '8267.T', '9022.T', '9983.T', '7741.T', '6098.T', '4543.T', '6702.T', '4911.T']",0.004644049404151418
2019-Q2,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.004006116578773089
2019-Q2,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.01691827857393169
2019-Q2,COMP,"['4523.T', '4519.T', '9022.T', '6702.T', '4543.T', '4901.T', '7733.T', '4568.T', '9984.T', '6098.T']",-0.004329189279121593
2019-Q3,MOM,"['4568.T', '9983.T', '9984.T', '7733.T', '4901.T', '4519.T', '4661.T', '7011.T', '7741.T', '6098.T']",0.023914132910472417
2019-Q3,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.015181438169549966
2019-Q3,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.08694600937501923
2019-Q3,COMP,"['4568.T', '9984.T', '4901.T', '7733.T', '4519.T', '6702.T', '9983.T', '6971.T', '4661.T', '8316.T']",0.040260076088455
2019-Q4,MOM,"['4568.T', '7741.T', '4661.T', '9983.T', '4519.T', '8802.T', '8001.T', '4911.T', '7733.T', '4063.T']",0.06798905791414853
2019-Q4,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",0.0482189576135165
2019-Q4,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",0.11677085943367657
2019-Q4,COMP,"['4568.T', '4661.T', '4519.T', '7741.T', '4063.T', '7733.T', '5108.T', '8001.T', '6702.T', '6954.T']",0.09099807797680953
2020-Q1,MOM,"['7733.T', '4568.T', '7741.T', '8035.T', '6702.T', '4661.T', '6501.T', '4519.T', '6971.T', '9432.T']",-0.09230594145250931
2020-Q1,VAL,"['7267.T', '5401.T', '7270.T', '9022.T', '4901.T', '6971.T', '6902.T', '3407.T', '7203.T', '5108.T']",-0.22580272914968527
2020-Q1,QUAL,"['8035.T', '4519.T', '6954.T', '8306.T', '8316.T', '7741.T', '6702.T', '4063.T', '6098.T', '6503.T']",-0.16547937183801728
2020-Q1,COMP,"['7733.T', '4568.T', '6702.T', '8035.T', '6971.T', '4519.T', '6954.T', '7741.T', '7270.T', '8316.T']",-0.12687408700096087
