Date,2802.T,2914.T,3382.T,3407.T,4063.T,4502.T,4519.T,4523.T,4543.T,4568.T,4661.T,4901.T,4911.T,5108.T,5401.T,5802.T,6098.T,6501.T,6503.T,6594.T,6702.T,6758.T,6861.T,6902.T,6954.T,6971.T,7011.T,7203.T,7267.T,7270.T,7733.T,7741.T,8001.T,8031.T,8035.T,8058.T,8267.T,8306.T,8316.T,8802.T,9020.T,9022.T,9432.T,9433.T,9983.T,9984.T,^N225
2014-01-06,635.6641845703125,1853.2789306640625,1081.921142578125,582.4476318359375,969.0667724609375,2955.154296875,619.8844604492188,2977.189208984375,552.6242065429688,512.5675659179688,723.742431640625,794.462890625,1464.2562255859375,1300.428466796875,379.9437255859375,1243.08935546875,,654.4319458007812,999.3701782226562,1158.2437744140625,461.4738464355469,335.39849853515625,10962.5927734375,1015.0496215820312,2813.77783203125,973.2876586914062,492.069091796875,876.2239990234375,951.9005737304688,1985.113037109375,764.7592163085938,2557.439453125,174.84072875976562,461.46038818359375,1354.4217529296875,435.3626403808594,394.3634948730469,449.6382141113281,1091.6593017578125,2600.06591796875,2314.19580078125,2249.84326171875,38.320762634277344,719.9459838867188,12205.0693359375,1029.616455078125,15908.8798828125
2014-01-07,619.1698608398438,1826.2235107421875,1090.9586181640625,578.930419921875,956.2738037109375,2945.947509765625,617.7105712890625,2965.996826171875,550.393798828125,516.054443359375,715.6105346679688,785.2313842773438,1458.9188232421875,1295.4207763671875,377.7664794921875,1230.2001953125,,658.42236328125,988.6982421875,1148.06396484375,462.3268737792969,335.0263366699219,10630.390625,1007.6671752929688,2788.06103515625,969.47119140625,492.8214111328125,872.051513671875,941.8804321289062,1987.7821044921875,747.2456665039062,2520.19921875,174.3040008544922,458.61956787109375,1352.0330810546875,430.61627197265625,394.3634948730469,443.7391662597656,1079.5966796875,2570.519775390625,2277.948974609375,2262.62646484375,38.04557800292969,739.4351196289062,12085.7041015625,1034.2545166015625,15814.3701171875
2014-01-08,626.3598022460938,1780.2296142578125,1156.8035888671875,593.7025756835938,961.071044921875,2958.22314453125,635.1033325195312,2992.1123046875,565.4500122070312,530.8065185546875,717.0455932617188,805.8665771484375,1464.2562255859375,1320.46142578125,379.9437255859375,1243.08935546875,,679.9706420898438,1023.763671875,1184.2591552734375,476.8277587890625,339.6794128417969,10820.21875,1024.27734375,2854.62353515625,1001.913818359375,519.9077758789062,876.2239990234375,953.013671875,2038.4945068359375,755.4185791015625,2624.12548828125,177.52438354492188,467.1418151855469,1373.531982421875,435.1468505859375,404.517578125,453.5709533691406,1093.6697998046875,2591.623779296875,2283.525634765625,2268.105224609375,39.146358489990234,745.167236328125,12339.35546875,1042.3704833984375,16121.4501953125
2014-01-09,625.5138549804688,1720.70849609375,1146.4749755859375,597.2198486328125,940.2824096679688,2955.154296875,622.3305053710938,2962.265380859375,551.5088500976562,531.87939453125,720.3938598632812,837.6343383789062,1462.47705078125,1302.0980224609375,374.50042724609375,1222.3233642578125,,672.7879638671875,1019.1901245117188,1185.390380859375,469.15081787109375,352.5220947265625,10784.6279296875,1020.5861206054688,2771.42041015625,984.7379760742188,516.1458129882812,872.051513671875,948.5601196289062,2021.8128662109375,755.4185791015625,2606.80419921875,176.5850830078125,463.9854736328125,1361.5882568359375,431.04766845703125,395.18682861328125,446.36090087890625,1075.5758056640625,2524.089111328125,2277.948974609375,2235.234619140625,38.66476821899414,722.2388916015625,11876.81640625,1034.2545166015625,15880.330078125
2014-01-10,621.7075805664062,1728.8253173828125,1134.855224609375,595.1094970703125,937.084228515625,2958.22314453125,629.3961791992188,2977.189208984375,549.8360595703125,538.0484008789062,722.307373046875,832.2039794921875,1474.9312744140625,1317.1226806640625,370.14569091796875,1250.9656982421875,,675.1821899414062,1010.04248046875,1204.61865234375,464.0328369140625,341.5406494140625,10618.52734375,1031.6593017578125,2692.7548828125,979.0133666992188,516.1458129882812,874.8331298828125,949.6734619140625,2031.8216552734375,754.2510986328125,2611.134765625,176.5850830078125,464.9325256347656,1371.1431884765625,430.184814453125,396.5589904785156,449.6382141113281,1081.607177734375,2483.569091796875,2266.79638671875,2233.408203125,38.939964294433594,717.6534423828125,12264.7529296875,1045.8489990234375,15912.0595703125
2014-01-14,603.9443969726562,1716.3797607421875,1101.8038330078125,583.8544311523438,919.493896484375,2934.90087890625,604.6661987304688,2929.434326171875,533.6644287109375,518.7367553710938,718.7196655273438,806.1383666992188,1434.89990234375,1284.069091796875,364.70245361328125,1222.3233642578125,,664.8070678710938,981.8377685546875,1178.037841796875,448.67877197265625,333.72344970703125,10364.6328125,1008.7747802734375,2612.578125,939.1272583007812,504.8598327636719,854.5270385742188,916.2735595703125,1971.7677001953125,719.2239379882812,2589.48291015625,176.04840087890625,458.61956787109375,1332.6842041015625,424.5755310058594,380.9161071777344,437.1847229003906,1055.2703857421875,2421.944091796875,2213.82080078125,2188.667236328125,38.430850982666016,711.8065795898438,11642.5595703125,1013.4996337890625,15422.400390625
2014-01-15,627.6285400390625,1742.8941650390625,1122.9776611328125,585.2614135742188,935.3251953125,2970.497802734375,620.6998901367188,2966.742919921875,549.2785034179688,520.345947265625,730.9175415039062,823.7868041992188,1438.4580078125,1320.46142578125,369.0570983886719,1238.076904296875,,691.9420166015625,997.8458862304688,1199.52880859375,464.0328369140625,336.5152587890625,10522.42578125,1029.6292724609375,2692.7548828125,970.99755859375,528.9365844726562,867.1837158203125,924.0668334960938,2031.1544189453125,734.40234375,2592.947265625,179.8054962158203,464.61669921875,1388.580810546875,431.91070556640625,385.8559265136719,442.42828369140625,1084.622802734375,2491.166748046875,2287.986572265625,2254.40869140625,38.644126892089844,726.2513427734375,11863.38671875,1027.6453857421875,15808.73046875
2014-01-16,634.3953857421875,1742.3529052734375,1113.681640625,588.0751342773438,932.2868041992188,2972.952392578125,619.0693359375,2977.189208984375,544.2596435546875,517.931884765625,734.2660522460938,825.9588623046875,1433.12060546875,1327.806396484375,372.3231506347656,1228.76806640625,,683.1630859375,983.3623046875,1228.3717041015625,461.4738464355469,335.77081298828125,10395.4794921875,1047.900146484375,2664.0126953125,964.1272583007812,536.4605102539062,870.7998046875,931.4149169921875,2030.4871826171875,747.2456665039062,2558.3056640625,179.8054962158203,460.1978759765625,1401.7191162109375,430.184814453125,381.4650573730469,441.11749267578125,1075.9781494140625,2468.373779296875,2298.30322265625,2230.6689453125,39.05004119873047,721.092529296875,11584.375,1030.77587890625,15747.2001953125
2014-01-17,625.5138549804688,1723.9549560546875,1107.2264404296875,592.2958374023438,939.8028564453125,2986.45458984375,621.5151977539062,2968.235595703125,544.8171997070312,517.3955688476562,743.5939331054688,822.70068359375,1444.685302734375,1315.453125,366.8797912597656,1225.187744140625,,687.1535034179688,981.0752563476562,1242.510498046875,461.4738464355469,331.30377197265625,10273.2783203125,1046.0546875,2637.5380859375,963.9365844726562,540.9749145507812,862.3158569335938,922.0629272460938,2038.4945068359375,743.7429809570312,2592.947265625,182.75755310058594,466.82623291015625,1368.515380859375,433.85235595703125,378.72064208984375,445.0500183105469,1080.40087890625,2485.257568359375,2298.581298828125,2227.929443359375,40.088897705078125,722.6975708007812,11527.6748046875,1030.5440673828125,15734.4599609375
2014-01-20,656.8108520507812,1731.530517578125,1091.9915771484375,587.3717041015625,931.4873046875,2973.566162109375,612.8189086914062,2956.29638671875,535.33740234375,514.9816284179688,747.8988647460938,820.8001098632812,1465.145751953125,1297.0899658203125,366.8797912597656,1212.2984619140625,,684.7592163085938,1000.89501953125,1228.937255859375,452.0907897949219,328.8841247558594,10199.716796875,1044.0244140625,2650.3974609375,954.2037353515625,544.737060546875,863.1500854492188,925.4030151367188,2031.8216552734375,722.7265625,2549.644775390625,183.29429626464844,471.5608215332031,1356.810546875,435.7940979003906,373.5063781738281,443.0837097167969,1077.385009765625,2449.801513671875,2272.093994140625,2231.581787109375,40.25401306152344,712.9530639648438,11341.1650390625,1024.7467041015625,15641.6796875
